date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:35:58	26/26	---M--	200	added ('OK')	text/plain	date:Tue,%2009%20Jul%202024%2006:35:58%20GMT	https://pogeonsol.surge.sh/robots.txt		(from )
01:35:59	85125/85125	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jul%202024%2006:35:59%20GMT	https://pogeonsol.surge.sh/www.pogethefrog.vip/	D:/poge/Poge/pogeonsol.surge.sh/www.pogethefrog.vip/index.html	(from )
01:35:59	406037/406037	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2004%20Jul%202024%2010:20:30%20GMT	https://w.ladicdn.com/v4/source/ladipagev3.min.js?v=1719310489476	D:/poge/Poge/w.ladicdn.com/v4/source/ladipagev3.min793f.js	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
01:35:59	2114/2114	---MCZ	200	added ('OK')	image/gif	date:Sat,%2006%20Jul%202024%2018:47:56%20GMT	https://w.ladicdn.com/63b3d7bebcd4e8001229d39c/giphy-10-20240625050548-buvtu.gif	D:/poge/Poge/w.ladicdn.com/63b3d7bebcd4e8001229d39c/giphy-10-20240625050548-buvtu.gif	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
01:35:59	1353789/1353789	---MCZ	200	added ('OK')	image/png	date:Sat,%2006%20Jul%202024%2018:47:56%20GMT	https://w.ladicdn.com/s1440x1138/63b3d7bebcd4e8001229d39c/dgwgj9u-284e4a24-f6a7-4f38-8445-15bf28557860-1hrf-20240625051425-2hymo.png	D:/poge/Poge/w.ladicdn.com/s1440x1138/63b3d7bebcd4e8001229d39c/dgwgj9u-284e4a24-f6a7-4f38-8445-15bf28557860-1hrf-20240625051425-2hymo.png	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
01:36:00	518420/518420	---MCZ	200	added ('OK')	image/png	date:Sat,%2006%20Jul%202024%2018:47:57%20GMT	https://w.ladicdn.com/s850x950/63b3d7bebcd4e8001229d39c/heromascotb-20240625045828-59kzg.png	D:/poge/Poge/w.ladicdn.com/s850x950/63b3d7bebcd4e8001229d39c/heromascotb-20240625045828-59kzg.png	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
01:36:00	19073/19073	---MCZ	200	added ('OK')	image/png	date:Sun,%2007%20Jul%202024%2007:34:27%20GMT	https://w.ladicdn.com/s400x400/63b3d7bebcd4e8001229d39c/image07-1-20240625041545-fn8um.png	D:/poge/Poge/w.ladicdn.com/s400x400/63b3d7bebcd4e8001229d39c/image07-1-20240625041545-fn8um.png	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
01:36:00	23921/23921	---MCZ	200	added ('OK')	image/png	date:Sun,%2007%20Jul%202024%2009:17:17%20GMT	https://w.ladicdn.com/s400x400/63b3d7bebcd4e8001229d39c/image08-1-20240625041629-afzyq.png	D:/poge/Poge/w.ladicdn.com/s400x400/63b3d7bebcd4e8001229d39c/image08-1-20240625041629-afzyq.png	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
01:36:00	8390/8390	---MCZ	200	added ('OK')	image/png	date:Tue,%2009%20Jul%202024%2006:33:33%20GMT	https://w.ladicdn.com/s400x400/63b3d7bebcd4e8001229d39c/image08-1vvv-20240625044223-be5fq.png	D:/poge/Poge/w.ladicdn.com/s400x400/63b3d7bebcd4e8001229d39c/image08-1vvv-20240625044223-be5fq.png	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
01:36:00	9299/9299	---MCZ	200	added ('OK')	image/png	date:Sat,%2006%20Jul%202024%2017:33:14%20GMT	https://w.ladicdn.com/s400x400/63b3d7bebcd4e8001229d39c/image08-1fde-20240625044351-xb2eh.png	D:/poge/Poge/w.ladicdn.com/s400x400/63b3d7bebcd4e8001229d39c/image08-1fde-20240625044351-xb2eh.png	(from https://pogeonsol.surge.sh/www.pogethefrog.vip/)
